NOMBRE;LOCALIDAD;LATITUD;LONGITUD;ESTADO;NUM_CAMAS;TIENE_ACCESO_DISCAPACITADOS;TIENE_UCI
CONSULTORIO ZAHARA DE LOS ATUNES; BARBATE; 36.135051666002795; -5.843455923196172; BUENO; 0; true; false
CENTRO DE SALUD BARBATE; BARBATE; 36.189308321456515; -5.925475089376914; BUENO; 0; true; false
CENTRO DE SALUD (CASA DEL MAR) BARBATE; BARBATE; 36.18825555644049; -5.923467895802184; REGULAR; 0; true; false
CONSULTORIO JEDULA; ARCOS DE LA FRONTERA; 36.72460010332263; -5.931456684613025; BUENO; 0; true; false
CONSULTORIO EL POSITO; ARCOS DE LA FRONTERA; 36.75005534052628; -5.809773177487557; BUENO; 0; true; false
CENTRO DE SALUD ARCOS DE LA FRONTERA; ARCOS DE LA FRONTERA; 36.74272890984898; -5.797115491891108; BUENO; 0; true; false
CONSULTORIO AUXILIAR LA MUELA; ALGODONALES; 36.93028619636662; -5.411900126241025; BUENO; 0; true; false
CONSULTORIO ALGODONALES; ALGODONALES; 36.87946545201232; -5.402516807153386; BUENO; 0; true; false
CONSULTORIO ALCALA DE LOS GAZULES; ALCALA DE LOS GAZULES; 36.46076654484339; -5.722895815413334; BUENO; 0; true; false
CONSULTORIO ALGAR; ALGAR; 36.657635572267445; -5.656869439190807; BUENO; 0; true; false
CENTRO DE SALUD ALACALA DEL VALLE; ALCALA DEL VALLE; 36.903376479892216; -5.1720080896354865; BUENO; 0; true; false
CENTRO DE SALUD CASA DEL MAR; TARIFA; 36.01774586933002; -5.601186429531831; BUENO; 0; false; false
CONSULTORIO AUXILIAR GUADARRANQUE; SAN ROQUE; 36.18391017226953; -5.414960858977093; BUENO; 0; false; false
CENTRO DE SALUD CAMPAMENTO; SAN ROQUE; 36.17809045129006; -5.378933716676538; REGULAR; 0; true; false
CENTRO DE SALUD ROTA; ROTA; 36.624113279769716; -6.363444575002416; BUENO; 0; true; false
CENTRO DE SALUD CASINES; PUERTO REAL; 36.52501351950163; -6.175483330848608; BUENO; 0; true; false
CONSULTORIO RIO SAN PEDRO; PUERTO REAL; 36.522913160353085; -6.2241591551279924; BUENO; 0; false; false
HOSPITAL UNIVERSITARIO; PUERTO REAL; 36.52016726032299; -6.151330284937666; BUENO; 433; true; true
CONSULTORIO PRADO DEL REY; PRADO DEL REY; 36.79044414426221; -5.554934952989551; BUENO; 0; true; false
CENTRO DE SALUD OLVERA; OLVERA; 36.93412655717929; -5.255930738262001; BUENO; 2; true; false
CONSULTORIO S.J. MALC.-LOS BADALEJOS; MEDINA-SIDONIA; 36.359049107881354; -5.8691579972325645; BUENO; 0; true; false
CENTRO DE SALUD SAN PABLO DE BUCEITE; JIMENA DE LA FRONTERA; 36.467298283611306; -5.412570128530911; BUENO; 0; false; false
MÓDULO DE SALUD SAN MARTIN DEL TES.; JIMENA DE LA FRONTERA; 36.340456070136376; -5.323883294783531; REGULAR; 0; false; false
CONSULTORIO AUXILIAR BENAMAHOMA; GRAZALEMA; 36.76337327368007; -5.465787459238412; REGULAR; 0; true; false
CONSULTORIO GRAZALEMA; GRAZALEMA; 36.7592436170874; -5.366504908595418; REGULAR; 0; false; false
CONSULTORIO EL GASTOR; GASTOR (EL); 36.85389491282129; -5.320373302237331; BUENO; 0; true; false
CENTRO DE SALUD SOR MARIA LUISA P.M.; CHIPIONA; 36.73106958182482; -6.433818969995988; BUENO; 0; true; false
CENTRO MEDICO SAN SEBASTIAN; CONIL DE LA FRONTERA; 36.278578910980244; -6.088092981539409; BUENO; 0; true; false
CONSULTORIO EL COLORADO; CONIL DE LA FRONTERA; 36.33232154964611; -6.091332824370154; BUENO; 0; true; false
CENTRO DE SALUD CONIL LA ATALAYA; CONIL DE LA FRONTERA; 36.280721585481906; -6.089961873242238; BUENO; 0; true; false
CONSULTORIO CASTELLAR DE LA FRONTERA; CASTELLAR DE LA FRONTERA; 36.277669680675565; -5.428901826960439; BUENO; 0; true; false
CONSULTORIO COTO DE BORNOS; BORNOS; 36.85198260456604; -5.6941080503305095; BUENO; 0; true; false
CONSULTORIO BORNOS; BORNOS; 36.8152503105265; -5.74521266183733; BUENO; 0; true; false
CONSULTORIO LOS CORTIJILLOS; BARRIOS (LOS); 36.1868952588035; -5.437648766500876; BUENO; 0; true; false
CONSULTORIO PALMONES; BARRIOS (LOS); 36.17645223264249; -5.440027797020265; BUENO; 0; true; false
CONSULTORIO LOS BARRIOS ESTE; BARRIOS (LOS); 36.182917613943964; -5.48147038630996; BUENO; 0; true; false
CENTRO MÉDICO EL CARMEN; BARBATE; 36.19514668249305; -5.918758316580935; BUENO; 0; false; false
CONSULTORIO BENAOCAZ; BENAOCAZ; 36.70018498546228; -5.42187612629762; BUENO; 0; true; false
CONSULTORIO EL SANTISCAL; ARCOS DE LA FRONTERA; 36.76324464566128; -5.782798786756967; BUENO; 0; true; false
CONSULTORIO PATERNA DE RIVERA; PATERNA DE RIVERA; 36.52106145102732; -5.863957159773473; BUENO; 0; true; false
CENTRO DE SALUD TREBUJENA; TREBUJENA; 36.86846114144969; -6.174778817404322; BUENO; 0; true; false
CONSULTORIO AUXILIAR ALMORAIMA; CASTELLAR DE LA FRONTERA; 36.28587086890688; -5.421518307795433; BUENO; 0; true; false
CONSULTORIO ESPERA; ESPERA; 36.87031826286106; -5.806300422571849; BUENO; 0; true; false
CENTRO DE SALUD DOCTOR TOLOSA LATOUR; CHIPIONA; 36.7414196395626; -6.4297973898168905; BUENO; 0; true; false
CENTRO DE SALUD MEDINA SIDONIA; MEDINA-SIDONIA; 36.46672276176123; -5.927861959625194; BUENO; 0; true; false
CENTRO DE SALUD JIMENA DE LA FRONTERA; JIMENA DE LA FRONTERA; 36.43122257001205; -5.446216055776707; BUENO; 0; true; false
CONSULTORIO FACINAS; TARIFA; 36.14145471150462; -5.698749084070459; BUENO; 0; true; false
CONSULTORIO DE SALUD; BOSQUE (EL); 36.757933774803874; -5.506472595074246; BUENO; 0; true; false
CENTRO DE SALUD LOS BARRIOS; BARRIOS (LOS); 36.18297016935886; -5.493677746389777; BUENO; 0; true; false
CONSULTORIO TORRE ALHAQUIME; TORRE-ALHAQUIME; 36.91657149945317; -5.232950207281941; BUENO; 0; true; false
CONSULTORIO TAHIVILLA; TARIFA; 36.18399621050993; -5.757622485118585; BUENO; 0; true; false
CONSULTORIO SETENIL; SETENIL; 36.862340804785845; -5.175932938812214; MALO; 0; true; false
CONSULTORIO AUXILIAR TORREGUADIARO; SAN ROQUE; 36.30168115974071; -5.267338941701478; BUENO; 0; false; false
CONSULTORIO TARAGUILLA; SAN ROQUE; 36.20615027366994; -5.42231174301593; REGULAR; 0; true; false
CENTRO DE SALUD SAN ROQUE; SAN ROQUE; 36.21319179006745; -5.382441431003353; BUENO; 0; true; false
CENTRO DE SALUD SAN ENRIQUE; SAN ROQUE; 36.303197149491275; -5.292039946158598; BUENO; 0; true; false
CENTRO DE SALUD PUENTE MAYORGA; SAN ROQUE; 36.18149968544774; -5.385858312497824; BUENO; 0; true; false
CONSULTORIO GUADIARO; SAN ROQUE; 36.29948631571979; -5.303035258550165; REGULAR; 0; true; false
CONSULTORIO ESTACION DE SAN ROQUE; SAN ROQUE; 36.213252465928164; -5.430847913036333; REGULAR; 0; true; false
CENTRO MEDICO COSTA DE LA LUZ; ROTA; 36.62618082992587; -6.358228009669152; BUENO; 0; false; false
CONSULTORIO PUERTO SERRANO; PUERTO SERRANO; 36.92110215699531; -5.539647636281376; BUENO; 0; true; false
CENTRO DE SALUD PUERTO REAL; PUERTO REAL; 36.52718788575069; -6.194818278448747; BUENO; 0; false; false
CONSULTORIO BARRIO JARANA; PUERTO REAL; 36.50199097923817; -6.142808996435779; BUENO; 0; true; false
CENTRO SALUD EVARISTO DOMINGUEZ; SAN ROQUE; 36.20940217758268; -5.394037646296896; BUENO; 0; true; false
NUEVO CENTRO DE SALUD DE BORNOS; BORNOS; 36.81792982402563; -5.745528318861347; BUENO; 0; true; false
NUEVO CENTRO DE SALUD DE ROTA; ROTA; 36.63134921031623; -6.367500804793098; EN_EJECUCION; 0; true; false
CENT. FISIOTERAPIA Y SALUD BUCOD.; SAN ROQUE; 36.21094820160227; -5.390504414779473; REGULAR; 0; true; false
CENTRO MÉDICO JANDA-SALUD; MEDINA-SIDONIA; 36.45854367917336; -5.927766213282037; BUENO; 0; true; false
CENTRO MÉDICO ASIDONENSE; MEDINA-SIDONIA; 36.47278210288091; -5.944811008220222; BUENO; 0; false; false
HOSPITAL QUIRÓN SALUD CAMPO DE GIBR.; BARRIOS (LOS); 36.18539835133923; -5.430820449481864; BUENO; 60; true; true
SERV. FISIOTERAPIA Y REHABILITACIÓN; ALCALA DEL VALLE; 36.899951956413474; -5.168744522338855; BUENO; 0; true; false
CONSULTORIO AUXILIAR BOLONIA; TARIFA; 36.08522545403537; -5.763703700430622; BUENO; 0; true; false
CONSULTORIO SAN JOSE DEL VALLE; SAN JOSE DEL VALLE; 36.6091707011654; -5.803259439299722; REGULAR; 0; true; false
CENTRO DE SALUD BENALUP; BENALUP; 36.34678031199789; -5.812608658631153; BUENO; 0; true; false
CONSULTORIO ZAHARA DE LA SIERRA; ZAHARA; 36.838950936128114; -5.391385775992197; BUENO; 0; true; false
HOSPITAL C. VIRGEN DE LAS MONTAÑAS; VILLAMARTIN; 36.86265343287248; -5.65023877994799; BUENO; 108; true; true
CENTRO DE SALUD VILLAMARTIN; VILLAMARTIN; 36.85907719310321; -5.646983436851157; BUENO; 0; true; false
CONSULTORIO AUX. VILLALUENGA DEL R.; VILLALUENGA DEL ROSARIO; 36.69650066092284; -5.386900573593665; REGULAR; 0; true; false
CONSULTORIO AUXILIAR EL PALMAR; VEJER DE LA FRONTERA; 36.23246589141967; -6.071286782000734; BUENO; 0; false; false
CONSULTORIO AUXILIAR CANTARRANAS; VEJER DE LA FRONTERA; 36.31585478328396; -5.884836032934215; BUENO; 0; true; false
CENTRO DE SALUD VIRGEN DE LA OLIVA; VEJER DE LA FRONTERA; 36.251766350416695; -5.969267884955112; REGULAR; 0; true; false
CENTRO DE SALUD UBRIQUE; UBRIQUE; 36.67525095554243; -5.446052739188258; BUENO; 0; true; false
HOSPITAL DE ALTA RESOLUCIÓN DE LA JANDA; VEJER DE LA FRONTERA; 36.25047321862637; -5.98169291742266; EN_EJECUCION; 24; true; false